T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18,28.5,10.2,1013.2,68,1.1,2,11.1,194.70833333333334
21.1,28.8,13.8,1012.8,57,1.6,9.4,22.2,134.45833333333334
21.3,28.8,15,1011.9,58,1.9,9.6,16.5,110.0
19,28.8,12.5,1014.7,72,1.6,2.8,9.4,160.0
18.1,28,10,1016.1,66,1.4,1.7,7.6,118.91666666666667
17.2,28.4,9.8,1015.8,73,1.1,1.9,11.1,176.375
17.4,28.4,9.2,1016.6,74,1.1,1.5,11.1,185.95833333333334
16,26.1,9.1,1014.4,81,1,1.1,5.4,239.125
16.2,25.3,9.5,1013.4,81,0.8,2.2,14.8,312.2083333333333
16.5,24.5,10.8,1012.2,74,1.6,10.2,22.2,121.33333333333333
15.4,24.9,8.2,1012.8,82,1,0.7,3.5,202.875
15.5,24.9,9.4,1015.1,88,0.6,2.6,7.6,260.1666666666667
16.3,22.4,10.8,1012.8,91,0.6,3.1,11.1,277.7083333333333
15.4,19.7,11.6,1016,93,0.6,4.4,9.4,284.1666666666667
14.6,15.9,12.5,1016.9,95,0.5,0.4,3.5,288.4166666666667
13.6,20.4,7.5,1020.7,67,1.1,10.2,40.7,166.91666666666666
12.3,20.6,6.2,1019.4,71,1.3,4.4,18.3,169.0
11.9,17.1,6.5,1018.6,84,1.1,1.1,5.4,186.04166666666666
14.3,19.2,10.9,1020.5,91,1.6,4.8,11.1
