Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
15 June ,10032,343075,10639,180324,396,9918
16 June ,11086,354161,7226,187550,2004,11922
17 June ,13108,367269,6890,194440,341,12263
18 June ,13829,381098,10741,205181,343,12606
19 June ,14740,395838,9029,214210,364,12970
20 June ,15918,411753,13974,228184,308,13278
21 June ,15151,426904,9075,237259,426,13704
22 June ,13560,440464,10879,248138,312,14016
23 June ,15656,456120,10462,258600,468,14484
24 June ,16868,472988,13089,271689,424,14908
25 June ,18205,491193,13983,285672,401,15309
26 June ,18255,509448,10246,295918,381,15690
27 June ,20142,529590,14229,310147,414,16104
28 June ,19610,549200,11631,321778,384,16488
29 June ,18339,567539,13497,335275,417,16905
30 June ,18256,585795,12565,347840,506,17411
01 July ,19429,605224,12064,359904,438,17849
02 July ,21947,627171,19999,379903,378,18227
03 July ,22718,649889,14417,394320,444,18671
04 July ,24018,673907,14746,409066,611,19282
05 July ,23942,697849,15829,424895,421,19703
06 July ,22500,720349,15315,440210,473,20176
07 July ,23147,743496,16836,457046,479,20655
08 July ,25561,769057,19508,476554,492,21147
09 July ,25790,794847,19408,495962,479,21626
10 July ,27762,822609,20289,516251,520,22146
11 July ,27757,850366,19981,536232,543,22689
12 July ,29106,879472,18198,554430,500,23189
13 July ,28178,907650,17683,572113,541,23730
14 July ,29917,937567,20977,593090,587,24317
15 July ,32607,970174,20646,613736,614,24931
16 July ,35468,1005642,22867,636603,680,25611
17 July ,34820,1040462,17476,654079,676,26287
18 July ,37411,1077873,23583,677662,543,26830
19 July ,40235,1118108,22730,700392,675,27505
20 July ,36806,1154914,24303,724695,596,28101
21 July ,39170,1194084,27589,752284,671,28772
22 July ,45601,1239685,31875,784159,1130,29902
23 July ,48443,1288128,33326,817485,755,30657
24 July ,48888,1337016,32514,849999,763,31420
25 July ,50072,1387088,37125,887124,703,32123
26 July ,48932,1436020,31512,918636,704,32827
27 July ,46484,1482504,34354,952990,642,33469
28 July ,49631,1532135,35683,988673,774,34243
29 July ,52479,1584614,32886,1021559,775,35018
30 July ,54968,1639582,37425,1058984,784,35802
31 July ,57486,1697068,36554,1095538,764,36566
01 August ,55117,1752185,51368,1146906,854,37420
02 August ,52672,1804857,40355,1187261,760,38180
03 August ,50488,1855345,43070,1230331,806,38986
04 August ,51282,1906627,51220,1281551,849,39835
05 August ,56626,1963253,45583,1327134,919,40754
06 August ,62170,2025423,50141,1377275,899,41653
